sensor_code,timestamp,reading_value,weather_condition
SENSOR_0027,2025-12-16 18:00:00,5.35,Sunny
SENSOR_0010,2025-12-11 05:00:00,22.49,Hot
SENSOR_0033,2026-01-03 02:00:00,19.69,Cold
SENSOR_0048,2025-12-17 03:00:00,442.6,Hot
SENSOR_0032,2025-12-10 12:00:00,35.27,Rainy
SENSOR_0030,2025-12-15 23:00:00,11.66,Sunny
SENSOR_0006,2026-01-01 08:00:00,33.46,Cloudy
SENSOR_0008,2025-12-17 03:00:00,92.0,Cold
SENSOR_0025,2026-01-04 12:00:00,67.29,Rainy
SENSOR_0039,2026-01-05 00:00:00,118.17,Cloudy
SENSOR_0018,2026-01-03 16:00:00,82.22,Hot
SENSOR_0034,2025-12-28 17:00:00,32.53,Cloudy
SENSOR_0032,2025-12-24 12:00:00,415.47,Sunny
SENSOR_0040,2025-12-14 09:00:00,16.67,Cloudy
SENSOR_0003,2025-12-13 23:00:00,,Rainy
SENSOR_0048,2026-01-07 16:00:00,26.026424896339304,Rainy
SENSOR_0007,2025-12-26 05:00:00,367.57,Rainy
SENSOR_0001,2025-12-15 09:00:00,30.88,Hot
SENSOR_0050,2025-12-12 03:00:00,7.46,Cold
SENSOR_0009,2026-01-01 01:00:00,103.03,Rainy
SENSOR_0012,2026-01-06 06:00:00,23.1,Hot
SENSOR_0024,2025-12-14 14:00:00,63.86,Cloudy
SENSOR_0050,2025-12-12 14:00:00,271.42,Cold
SENSOR_0027,2025-12-19 03:00:00,96.6,Sunny
SENSOR_0040,2025-12-27 22:00:00,48.64,Sunny
SENSOR_0023,2025-12-25 15:00:00,38.67,Hot
SENSOR_0026,2025-12-25 21:00:00,77.05,Hot
SENSOR_0024,2025-12-22 00:00:00,230.82,Rainy
SENSOR_0007,2025-12-31 08:00:00,39.34,Rainy
SENSOR_0017,2026-01-08 16:00:00,132.12,Rainy
SENSOR_0004,2026-01-04 13:00:00,270.176511648252,Cloudy
SENSOR_0019,2025-12-24 00:00:00,44.88,Rainy
SENSOR_0049,2025-12-19 23:00:00,95.53,Rainy
SENSOR_0012,2026-01-07 16:00:00,39.26,Hot
SENSOR_0016,2025-12-24 11:00:00,35.75,Hot
SENSOR_0020,2026-01-05 16:00:00,106.04,Cloudy
SENSOR_0042,2025-12-15 18:00:00,20.02,Cold
SENSOR_0009,2025-12-21 20:00:00,36.88,Cold
SENSOR_0027,2026-01-05 16:00:00,104.58,Cloudy
SENSOR_0045,2026-01-02 19:00:00,25.8,Cold
SENSOR_0004,2025-12-19 21:00:00,31.94,Cloudy
SENSOR_0022,2025-12-26 19:00:00,90.15,Hot
SENSOR_0046,2025-12-18 10:00:00,34.3,Rainy
SENSOR_0041,2026-01-04 04:00:00,35.34,Sunny
SENSOR_0031,2025-12-25 15:00:00,205.35347295130418,Cloudy
SENSOR_0028,2025-12-10 18:00:00,19.08417695205976,Cloudy
SENSOR_0041,2025-12-13 04:00:00,41.19,Cold
SENSOR_0012,2025-12-13 09:00:00,108.81,Rainy
SENSOR_0019,2025-12-23 03:00:00,55.31,Rainy
SENSOR_0048,2026-01-05 00:00:00,,Cold
SENSOR_0047,2025-12-27 10:00:00,1.93,Rainy
SENSOR_0046,2025-12-24 19:00:00,296.74,Rainy
SENSOR_0046,2025-12-24 05:00:00,155.95,Rainy
SENSOR_0005,2025-12-19 21:00:00,38.99,Cold
SENSOR_0008,2025-12-26 11:00:00,94.43,Sunny
SENSOR_0014,2026-01-07 01:00:00,67.18,Cold
SENSOR_0040,2025-12-28 17:00:00,316.95,Rainy
SENSOR_0042,2025-12-31 17:00:00,253.23,Cold
SENSOR_0004,2026-01-06 01:00:00,162.2,Sunny
SENSOR_0050,2025-12-18 13:00:00,39.42,Hot
SENSOR_0041,2026-01-05 14:00:00,42.32,Hot
SENSOR_0025,2025-12-16 13:00:00,21.6,Cold
SENSOR_0012,2025-12-16 07:00:00,437.43,Cloudy
SENSOR_0012,2026-01-01 05:00:00,59.35,Cloudy
SENSOR_0015,2025-12-24 20:00:00,85.95,Hot
SENSOR_0031,2025-12-22 12:00:00,107.47,Hot
SENSOR_0050,2025-12-27 03:00:00,108.81,Hot
SENSOR_0034,2025-12-27 20:00:00,121.04,Hot
SENSOR_0011,2025-12-14 18:00:00,,Hot
SENSOR_0042,2026-01-08 16:00:00,45.11,Hot
SENSOR_0038,2026-01-05 01:00:00,32.12,Cold
SENSOR_0006,2025-12-11 00:00:00,,Cold
SENSOR_0007,2025-12-27 05:00:00,86.99,Rainy
SENSOR_0011,2026-01-06 16:00:00,30.17,Cloudy
SENSOR_0006,2025-12-14 18:00:00,62.3,Hot
SENSOR_0001,2025-12-13 14:00:00,445.05,Cloudy
SENSOR_0040,2026-01-07 10:00:00,81.72,Cold
SENSOR_0019,2026-01-06 00:00:00,61.56,Cold
SENSOR_0018,2026-01-05 09:00:00,95.56,Cloudy
SENSOR_0035,2025-12-25 14:00:00,55.4,Cloudy
SENSOR_0048,2025-12-27 21:00:00,91.56,Hot
SENSOR_0045,2025-12-25 17:00:00,1.88,Sunny
SENSOR_0027,2025-12-15 18:00:00,75.52,Hot
SENSOR_0022,2025-12-15 09:00:00,42.45,Sunny
SENSOR_0015,2026-01-02 19:00:00,59.57977781792662,Sunny
SENSOR_0023,2025-12-30 02:00:00,13.54,Rainy
SENSOR_0004,2025-12-12 08:00:00,35.52,Sunny
