sensor_code,sensor_type,district,latitude,longitude,installation_date
SENSOR_0001,traffic,Tech District,33.826691,-7.609315,2024-06-15
SENSOR_0002,temperature,North Residential,33.855999,-7.582781,2025-06-25
SENSOR_0003,traffic,Downtown,33.548025,-7.518356,2025-04-28
SENSOR_0004,noise,Downtown,33.823711,-7.553964,2024-09-01
SENSOR_0005,noise,West Park,33.748351,-7.661251,2024-02-09
SENSOR_0006,air_quality,South Residential,33.54027,-7.62888,2024-12-08
SENSOR_0007,traffic,East Suburb,33.974823,-7.517187,2025-05-06
SENSOR_0008,air_quality,East Suburb,33.933587,-7.563144,2024-09-14
SENSOR_0009,temperature,South Residential,33.624797,-7.671303,2024-10-22
SENSOR_0010,noise,North Residential,33.861685,-7.506423,2024-01-25
SENSOR_0011,temperature,North Residential,33.817427,-7.648107,2025-06-05
SENSOR_0012,temperature,North Residential,33.894907,-7.544197,2025-04-08
SENSOR_0013,temperature,East Suburb,33.649245,-7.56449,2024-10-18
SENSOR_0014,noise,North Residential,33.956668,-7.566849,2025-08-10
SENSOR_0015,noise,Harbor Area,33.957294,-7.615097,2025-01-17
SENSOR_0016,noise,Industrial Zone,33.719403,-7.620379,2025-11-01
SENSOR_0017,traffic,South Residential,33.907703,-7.656098,2024-09-04
SENSOR_0018,traffic,Harbor Area,33.840692,-7.598085,2024-03-02
SENSOR_0019,air_quality,West Park,33.95864,-7.643574,2024-04-28
SENSOR_0020,temperature,Tech District,33.832728,-7.550509,2025-12-26
SENSOR_0021,temperature,East Suburb,33.942316,-7.53649,2025-11-29
SENSOR_0022,traffic,Industrial Zone,33.84439,-7.633264,2024-04-03
SENSOR_0023,noise,Harbor Area,33.537881,-7.509183,2024-05-24
SENSOR_0024,noise,Downtown,33.572333,-7.693227,2025-07-06
SENSOR_0025,air_quality,Harbor Area,33.522816,-7.582274,2024-11-07
SENSOR_0026,traffic,East Suburb,33.582597,-7.518502,2024-11-03
SENSOR_0027,air_quality,Tech District,33.714134,-7.553671,2025-07-19
SENSOR_0028,temperature,West Park,33.583215,-7.514382,2024-05-24
SENSOR_0029,traffic,North Residential,33.784973,-7.514755,2025-07-25
SENSOR_0030,temperature,Tech District,33.946621,-7.59383,2024-12-04
SENSOR_0031,temperature,Tech District,33.756942,-7.668868,2024-08-10
SENSOR_0032,noise,Tech District,33.583807,-7.534866,2025-11-29
SENSOR_0033,traffic,Harbor Area,33.516269,-7.525782,2025-04-03
SENSOR_0034,traffic,South Residential,33.786595,-7.521078,2025-08-29
SENSOR_0035,temperature,North Residential,33.577951,-7.645103,2024-08-18
SENSOR_0036,temperature,Industrial Zone,33.832456,-7.682822,2025-05-14
SENSOR_0037,noise,West Park,33.622688,-7.512177,2025-03-05
SENSOR_0038,air_quality,East Suburb,33.996898,-7.690538,2024-06-30
SENSOR_0039,temperature,East Suburb,33.909829,-7.663561,2024-05-16
SENSOR_0040,noise,North Residential,33.835041,-7.556553,2025-04-17
SENSOR_0041,air_quality,West Park,33.894559,-7.577405,2024-05-20
SENSOR_0042,traffic,West Park,33.606753,-7.503923,2025-12-18
SENSOR_0043,traffic,South Residential,33.773448,-7.607826,2025-06-25
SENSOR_0044,traffic,Downtown,33.986824,-7.693179,2024-09-12
SENSOR_0045,air_quality,North Residential,33.531638,-7.56297,2025-02-18
SENSOR_0046,air_quality,West Park,33.659882,-7.528899,2025-02-21
SENSOR_0047,traffic,Harbor Area,33.92307,-7.562126,2024-05-31
SENSOR_0048,temperature,Harbor Area,33.714254,-7.621973,2025-03-24
SENSOR_0049,air_quality,Harbor Area,33.683726,-7.564424,2025-05-10
SENSOR_0050,temperature,Harbor Area,33.941407,-7.680552,2024-11-02
